movie_id,person_id
1114967,86626
27576,13015
258509,68573
594767,1302082
274167,74619
1111873,66681
1111873,1039527
274870,77965
263472,16847
100402,19272
100402,19271
308531,1101410
1181107,552390
65754,7467
724495,71947
379149,10702
38579,46076
1267,16842
17578,488
302946,77003
530915,39
1155281,232685
337170,11694
22538,11090
289720,1358976
1083968,1362815
205587,42994
332562,51329
64688,107446
64688,155267
138832,57633
300671,865
412117,124748
381283,6431
1771,4945
59860,56789
1245993,6431
5876,4027
44833,36602
13053,70238
13053,76595
228165,217174
228165,64151
515001,55934
338953,11343
762504,291263
228161,52870
1035048,1921
109414,19274
109414,54734
19994,54025
4982,578
53182,78914
6477,49903
375588,128276
59967,67367
747188,5655
897087,35453
262500,57270
455207,54507
9792,59291
228326,1265056
51739,144476
467244,66728
20504,11448
20504,11447
1328803,54649
576845,11090
49040,19242
49049,43141
324668,25598
157350,17329
77805,109403
77805,109402
37931,62863
340837,1704
937278,12995
1242434,5281
54138,15344
1232546,1302082
508439,225976
385128,58189
399402,1003245
17654,82194
196867,82511
1267905,6737
401981,10943
6557,29214
25793,20019
400535,932533
298250,56501
298250,56502
582014,1252934
957452,228134
619778,2127
1250,16837
425148,1215
587792,1704882
1280450,211659
271718,41039
70578,5572
336843,1179066
877269,227439
297761,19769
2454,5524
153518,1281387
839033,16137
50546,17494
1265063,78160
276907,4723
4347,36588
533642,1480320
7345,4762
241259,26205
64635,3950
473033,129561
473033,227564
282035,15345
213681,53925
614917,1415665
558915,1507725
274862,1218988
274862,934181
116745,7399
774370,64149
760329,227564
87827,1614
848538,957
22794,107446
22794,155267
1337562,1175743
678512,72960
9757,53177
87428,74619
97020,52576
238615,56512
785084,6431
7555,16483
567609,1039527
567609,66681
791177,78160
423204,76422
23631,2294
23631,61847
207932,6159
718789,7929
254320,122423
534,36425
369972,136495
8338,8557
359940,54472
13475,15344
22881,54040
639933,138781
915935,1175620
446894,52845
522478,82511
7191,32278
1071215,16847
522627,956
1125,15557
884605,84416
976893,2303
8909,23430
1233575,1884
396371,13520
68734,880
11631,71068
39514,57270
1041613,856440
49047,11218
342473,1316783
342473,1792483
76617,97026
507241,131532
50544,82511
1114513,63306
62213,510
1562,17597
507076,14597
481848,66193
85889,76965
70435,1884
68735,81850
967847,57193
4922,7467
826749,1211636
76163,12786
511987,59291
170687,1152981
170687,52691
346648,101666
31867,114404
10315,5655
1195506,1361389
1195506,1283526
96721,6159
406990,76927
223702,12080
223702,142587
280217,64151
10140,10781
17979,24
974950,17496
225574,59521
47933,6046
512195,57633
82693,17883
114150,168667
77877,33433
49529,7
72559,54507
1735,18878
168672,17883
664469,17883
365177,16847
346685,55789
372343,74396
338766,3055
614930,1578590
804095,488
930564,1252934
614560,7467
60935,1692687
956,15344
1581,17698
329996,510
299687,111588
68724,82194
969492,125324
526896,125738
1160956,2265584
49730,19850
420814,12995
8960,36602
43347,9181
980026,74752
389015,50767
7551,893
500916,1358976
41154,5174
588648,1078616
44264,1224
44264,1223
407451,929825
211672,8023
211672,124747
44826,1032
32856,1201
71880,17494
534490,77295
12244,71923
581528,1910480
116149,101666
536554,1288796
420821,62854
138103,143059
417870,72024
13483,74569
9693,11218
63311,309
1008409,71872
536437,2294
264644,83281
675445,1098477
246403,19303
496450,1762584
814776,1976040
19901,56501
19901,56502
39538,1884
76757,9339
76757,9340
58574,956
587807,20400
171274,4762
159824,185438
858017,1827119
399035,59521
6637,12962
539537,55075
431693,1745178
431693,587699
739405,956
9297,57193
86834,6431
27581,55710
109424,25598
340102,1053420
175574,8029
501170,551463
13027,40256
72545,132876
20662,578
39513,54733
522681,1306608
1040148,71267
484247,116805
1153714,1292106
446893,118489
49797,69081
107846,29605
50780,1038
4638,11090
73935,57434
9907,4489
238713,116805
459910,1031463
492188,5656
300669,932248
132232,1113116
131634,10943
395990,16847
188161,52139
487558,5281
23759,57581
440,6037
440,6038
752623,931525
752623,174313
433808,141962
524369,47005
181283,125738
147441,578
646389,58324
840430,13235
7518,52845
7518,52870
1106739,190
37834,366
57214,1299380
